,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Schneeflocken in Bayern,Schneeflocken in Bayern,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Unterfranken,Unterfranken,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Würzburg,Würzburg,LOC,0.00000000,0.00000000,de,1.00000000,4067037-5,2805615,X,49.78777900,9.93610900,EUROPE,Germany,WCE
Hesse…,Hesse…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
plötzlic…,plötzlic…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
au…,au…,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Winterberg,Winterberg,LOC,0.00000000,0.00000000,de,1.00000000,4262019-3,2807788,X,51.19248000,8.53467900,EUROPE,Germany,WCE
lnw,lnw,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kitzbühel,Kitzbühel,LOC,0.70000000,0.00000000,de,1.00000000,4030895-9,2774347,X,47.44637000,12.39215000,EUROPE,Austria,WCE
Höhengebiet,Höhengebiet,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Winterliches Deutschland,Winterliches Deutschland,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Baden-Württemberg w…,Baden-Württemberg w…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Mittelgebirgsraum,Mittelgebirgsraum,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wintermodus,Wintermodus,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Minusgrade,Minusgrade,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hessen ge,Hessen ge,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Eiskratzen am Morgen,Eiskratzen am Morgen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
November-Wetter,November-Wetter,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Glatt,Glatt,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Arlberg-Schnellstraße,Arlberg-Schnellstraße,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Mount Everest Region,Mount Everest Region,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wolken aufziehe…,Wolken aufziehe…,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Niederungen,Niederungen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schulbus,Schulbus,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Thallichtenberg,Thallichtenberg,LOC,0.00000000,0.00000000,de,1.00000000,4724965-1,2823052,X,49.56667000,7.34999900,EUROPE,Germany,WCE
Straße abge…,Straße abge…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kreis Waldeck-Frankenberg,Kreis Waldeck-Frankenberg,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hochrhein,Hochrhein,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Neuschnee-Nachschub,Neuschnee-Nachschub,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Räumfahrzeug,Räumfahrzeug,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
winterlich-kalt,winterlich-kalt,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Straßensperrungen,Straßensperrungen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Rekordtempo,Rekordtempo,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Fünf-Minuten-Weg,Fünf-Minuten-Weg,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Feldkirch,Feldkirch,LOC,-0.17500000,0.00000000,de,1.00000000,4016680-6,2779674,X,47.23306000,9.59999900,EUROPE,Austria,WCE
Straße,Straße,LOC,-0.17500000,0.00000000,de,1.00000000,,-1,,,,,,
Sicherheitsgründen,Sicherheitsgründen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Damüls,Damüls,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bad Laterns,Bad Laterns,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Furkajoch,Furkajoch,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Furkajochs,Furkajochs,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
tiefwinterlich,tiefwinterlich,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Regensburg,Regensburg,LOC,0.00000000,0.00000000,de,1.00000000,4048989-9,2849483,X,49.01500000,12.09556000,EUROPE,Germany,WCE
Zugausfälle,Zugausfälle,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ha…,Ha…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Mecklenburg-Vorpommerns,Mecklenburg-Vorpommerns,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Eibenstock,Eibenstock,LOC,0.00000000,0.00000000,de,1.00000000,4235508-4,2932738,X,50.49430900,12.59978000,EUROPE,Germany,WCE
Gehwegen,Gehwegen,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
A3,A3,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Oldenburg/Bremen,Oldenburg/Bremen,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Oberpfalz sta,Oberpfalz sta,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Gefährliche Glätte,Gefährliche Glätte,LOC,-0.50000000,0.50000000,de,1.00000000,,-1,,,,,,
Sonnenschein,Sonnenschein,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Spiegelglatte,Spiegelglatte,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Orthopäden,Orthopäden,LOC,-0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Unfallchirurgen,Unfallchirurgen,LOC,-0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Energieversorgers Gasag,Energieversorgers Gasag,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Thüringer Bergland,Thüringer Bergland,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Oberlausitzer Bergland,Oberlausitzer Bergland,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ostsachsen,Ostsachsen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Erde,Erde,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bezirk Neunkirchen,Bezirk Neunkirchen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Semmering,Semmering,LOC,0.00000000,0.00000000,de,1.00000000,4054504-0,2765170,X,47.63333300,15.83000000,EUROPE,Austria,WCE
Vorarlberg,Vorarlberg,LOC,0.00000000,0.00000000,de,1.00000000,4063944-7,2762300,X,47.25000000,9.91666900,EUROPE,Austria,WCE
Winterdienste,Winterdienste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schneedeckenaufbau,Schneedeckenaufbau,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Lawinenprobleme,Lawinenprobleme,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Gefahrenstufen,Gefahrenstufen,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Inzersdorf,Inzersdorf,LOC,0.00000000,0.00000000,de,1.00000000,4548505-7,2775204,X,48.15028000,16.34722000,EUROPE,Austria,WCE
Schneematsch,Schneematsch,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schneefahrbahn,Schneefahrbahn,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Unfallstellen,Unfallstellen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
bergen,bergen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dauereinsatz,Dauereinsatz,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Land,Land,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Immobilieneigentümern,Immobilieneigentümern,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Mittelfranken,Mittelfranken,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
gefrierenden Regen,gefrierenden Regen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schnee“,Schnee“,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Land…,Land…,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Brande…,Brande…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ranstadt-Dauernheim,Ranstadt-Dauernheim,LOC,1.00000000,0.00000000,de,1.00000000,4090921-9,2938726,X,50.36220000,8.95608000,EUROPE,Germany,WCE
Gera,Gera,LOC,-0.70000000,0.00000000,de,1.00000000,4020295-1,2921232,X,50.88029000,12.08187000,EUROPE,Germany,WCE
Tourismusbranche,Tourismusbranche,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Temperaturen absacken,Temperaturen absacken,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sonntag Schnee,Sonntag Schnee,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dresden,Dresden,LOC,0.00000000,0.00000000,de,1.00000000,4012995-0,2935022,X,51.05089000,13.73831900,EUROPE,Germany,WCE
Dresdner,Dresdner,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Brand,Brand,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Rennsteigregion,Rennsteigregion,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Thüringer Wald“,Thüringer Wald“,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Berchtesgaden,Berchtesgaden,LOC,0.00000000,0.00000000,de,1.00000000,4005574-7,2950881,X,47.63235900,13.00186000,EUROPE,Germany,WCE
Zirl,Zirl,LOC,0.00000000,0.00000000,de,1.00000000,4119248-5,2760523,X,47.28332900,11.23333000,EUROPE,Austria,WCE
B177,B177,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Seefelder Straße,Seefelder Straße,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Winterwochenende,Winterwochenende,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Thalfang,Thalfang,LOC,0.00000000,0.00000000,de,1.00000000,4355486-6,3204961,X,49.75000000,7.00000000,EUROPE,Germany,WCE
NRW)/Suhl,NRW)/Suhl,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Meinerzhagen,Meinerzhagen,LOC,-0.70000000,0.00000000,de,1.00000000,4038445-7,2872237,X,51.10739900,7.64838000,EUROPE,Germany,WCE
Sonntagnachmittag,Sonntagnachmittag,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Was,Was,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Magdeburg/Halle,Magdeburg/Halle,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Brandenburg auf Schnee,Brandenburg auf Schnee,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wien,Wien,LOC,0.00000000,0.00000000,de,1.00000000,4066009-6,2761367,X,48.20819900,16.37169000,EUROPE,Austria,WCE
Salzburger Land,Salzburger Land,LOC,0.00000000,0.00000000,de,1.00000000,4051423-7,2766823,X,47.41667000,13.25000000,EUROPE,Austria,WCE
Nordtirol,Nordtirol,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Glatteisgefahr,Glatteisgefahr,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
DeutschlandsGlatte,DeutschlandsGlatte,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Di…,Di…,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Jever,Jever,LOC,-0.70000000,0.00000000,de,1.00000000,4028611-3,2894897,X,53.57361100,7.89805500,EUROPE,Germany,NEU
Cuxhaven,Cuxhaven,LOC,-0.70000000,0.00000000,de,1.00000000,4010793-0,2939658,X,53.87176000,8.69087000,EUROPE,,NEU
Polizeidienststellen,Polizeidienststellen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Fährausfälle,Fährausfälle,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dauerregen,Dauerregen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Qudang ge,Qudang ge,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bayerns Alpen,Bayerns Alpen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Everest,Everest,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Hamburger S-Bahn,Hamburger S-Bahn,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
A7,A7,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Rettungsdienste,Rettungsdienste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Qudang,Qudang,LOC,1.40000000,0.00000000,de,1.00000000,,-1,,,,,,
Eisregen-Walze,Eisregen-Walze,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schneesturm am,Schneesturm am,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Gewalttat in Maintal +++ Liveblog,Gewalttat in Maintal +++ Liveblog,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Afrika,Afrika,LOC,1.00000000,0.00000000,de,1.00000000,4000695-5,6255146,X,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
Annaberg-Buchholz,Annaberg-Buchholz,LOC,-0.23333333,0.00000000,de,1.00000000,4085813-3,2956005,X,50.57944400,13.61110000,EUROPE,Czechia,WCE
Zillertal,Zillertal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hochfügenerstraße,Hochfügenerstraße,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Montagnachmittag,Montagnachmittag,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sachs…,Sachs…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Anhalt,Anhalt,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Leipzig,Leipzig,LOC,0.00000000,0.00000000,de,1.00000000,4035206-7,2879139,X,51.33944400,12.37111100,EUROPE,Germany,WCE
Offenbach/Poppenhausen,Offenbach/Poppenhausen,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Sölden am Sonntag,Sölden am Sonntag,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Herren-Riesentorlaufs,Herren-Riesentorlaufs,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tirols,Tirols,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Beifahrer,Beifahrer,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Straßenrand,Straßenrand,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kaunertal,Kaunertal,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Insassen,Insassen,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Brocken,Brocken,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
ARKOCHIC,ARKOCHIC,LOC,1.40000000,0.00000000,de,1.00000000,,-1,,,,,,
Gewehe,Gewehe,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ostsee,Ostsee,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bezirk Schwaz,Bezirk Schwaz,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tirols Bergen,Tirols Bergen,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Gebirgsregionen,Gebirgsregionen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Deutsch…,Deutsch…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Landwirtschaftskammer Schleswig-Holstein,Landwirtschaftskammer Schleswig-Holstein,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hannover,Hannover,LOC,1.00000000,0.00000000,de,1.00000000,4023349-2,2910831,X,52.37027700,9.73305500,EUROPE,Germany,WCE
Helikopter,Helikopter,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Oleander,Oleander,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Energiesparmodus,Energiesparmodus,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Alpenraum,Alpenraum,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Geldhahn,Geldhahn,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wetter-Mix,Wetter-Mix,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Skipiste,Skipiste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hahntennjoch,Hahntennjoch,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Burschen,Burschen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bezirk Spittal an der Drau,Bezirk Spittal an der Drau,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Auernig,Auernig,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bergnot,Bergnot,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Playa de Palma,Playa de Palma,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ballermann,Ballermann,LOC,0.70000000,1.00000000,de,1.00000000,,-1,,,,,,
Reutte,Reutte,LOC,0.00000000,0.00000000,de,1.00000000,4049661-2,2767511,X,47.48333000,10.71667000,EUROPE,Austria,WCE
Imst,Imst,LOC,0.70000000,0.00000000,de,1.00000000,4026692-8,2775307,X,47.24500000,10.73972200,EUROPE,Austria,WCE
Nord-,Nord-,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Vorarlbergs,Vorarlbergs,LOC,0.50000000,0.50000000,de,1.00000000,,-1,,,,,,
Berchtesgadener Land,Berchtesgadener Land,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Nassfeld,Nassfeld,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bergen ins Herz der Stadt,Bergen ins Herz der Stadt,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
plöt­zen­see,plöt­zen­see,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
see­en­de,see­en­de,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
fo­to­gra­fiert,fo­to­gra­fiert,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Weinlese,Weinlese,LOC,0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Gewalttat in Maintal +++ Friedensbrücke,Gewalttat in Maintal +++ Friedensbrücke,LOC,0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Hochrindl,Hochrindl,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Katschberg,Katschberg,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kärntner,Kärntner,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bayerische Wald,Bayerische Wald,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ärmelkanal,Ärmelkanal,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bretagne,Bretagne,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Atlantik,Atlantik,LOC,-0.70000000,0.00000000,de,1.00000000,4003388-0,3373405,X,10.00000000,-25.00000000,ATLANTIC,,NAO
Joshua,Joshua,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Irawan,Irawan,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Nordseeküste,Nordseeküste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Skipass,Skipass,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kamin,Kamin,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Alpengipfeln,Alpengipfeln,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wälder,Wälder,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Wathosen,Wathosen,LOC,0.23333333,0.00000000,de,1.00000000,,-1,,,,,,
Fichtelberg,Fichtelberg,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Weltall,Weltall,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Weltraumspiegel,Weltraumspiegel,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Jänner,Jänner,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hitze,Hitze,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Sturm,Sturm,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dagebüll,Dagebüll,LOC,0.00000000,0.00000000,de,1.00000000,4104277-3,2939489,X,54.72928000,8.70082900,EUROPE,Germany,NEU
Erzgebirgskreis,Erzgebirgskreis,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tag am See,Tag am See,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Crans-Montana,Crans-Montana,LOC,0.00000000,0.00000000,de,1.00000000,4275008-8,6559506,X,46.31305500,7.47888800,EUROPE,Switzerland,WCE
Skirollerskates,Skirollerskates,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Andermatt-Sedrun,Andermatt-Sedrun,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bayerischen Wald,Bayerischen Wald,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Streusalz-Alternativen,Streusalz-Alternativen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Temperaturen w…,Temperaturen w…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Aussicht,Aussicht,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Gewittern,Gewittern,LOC,-2.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Starkregen,Starkregen,LOC,-2.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schwarzwalde…,Schwarzwalde…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Mitreden,Mitreden,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Königssee,Königssee,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Provinzen,Provinzen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Luxus,Luxus,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
St,St,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Deu…,Deu…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Südbaden,Südbaden,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Nervenkitzel,Nervenkitzel,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Straßenmeistereien des Landes,Straßenmeistereien des Landes,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Straßenmeistereien,Straßenmeistereien,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
k…,k…,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Feuchtsalz,Feuchtsalz,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Italiens Alpen,Italiens Alpen,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Flixbus,Flixbus,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Oberhausen,Oberhausen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
westli…,westli…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
westl…,westl…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sonnenstrahlen,Sonnenstrahlen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Lauterbach,Lauterbach,LOC,0.00000000,1.00000000,de,1.00000000,4034771-0,2879929,X,50.63555500,9.39777700,EUROPE,Germany,WCE
Einheimischentarife,Einheimischentarife,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
anr…,anr…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tagesskipass,Tagesskipass,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Rocky Mountains,Rocky Mountains,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Super-Vorverkau…,Super-Vorverkau…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Pinzgau,Pinzgau,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Babelsberg,Babelsberg,LOC,0.35000000,0.50000000,de,1.00000000,4256237-5,2953775,X,52.39321900,13.09549900,EUROPE,Germany,WCE
nassen F,nassen F,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
F…,F…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dachstein West heu…,Dachstein West heu…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Passauer Land,Passauer Land,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Donau,Donau,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Winzern,Winzern,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Himalaja,Himalaja,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ski-Tickets,Ski-Tickets,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Westens,Westens,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
NÖ Bergerlebnispass,NÖ Bergerlebnispass,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Nevada,Nevada,LOC,0.35000000,0.50000000,de,1.00000000,4041996-4,5509151,X,39.25021000,-116.75118900,NORTH-AMERICA,United States,WNA
Nordhälfte,Nordhälfte,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Celsius,Celsius,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
halbe Land,halbe Land,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Karacho,Karacho,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Auslage,Auslage,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Skigebieten,Skigebieten,LOC,-0.50000000,0.00000000,de,1.00000000,,-1,,,,,,
Todtnau,Todtnau,LOC,0.00000000,0.00000000,de,1.00000000,4227480-1,2821975,X,47.82941000,7.94380000,EUROPE,Germany,WCE
Skisaison,Skisaison,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Resterhöhe,Resterhöhe,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Eisglätte,Eisglätte,LOC,0.50000000,0.00000000,de,1.00000000,,-1,,,,,,
Lichtblick,Lichtblick,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wandsbeker Winterzauber,Wandsbeker Winterzauber,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
