domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.027176322835413737,0.1983978761549363,0.0433671547307911,0.10718544635469283,715.0
www.stern.de,-0.030304191163566162,0.2368337979717793,0.07546626984126985,0.14120990354594534,592.0
www.bild.de,0.051927274114774116,0.216305393116372,0.045014880952380945,0.08784529035395086,208.0
www.tagesspiegel.de,0.014541836734693874,0.21525213818862418,0.08077551020408164,0.11971655411490313,175.0
www.faz.net,0.04318689422671724,0.20247760742145468,0.05494451467902795,0.08783430788886977,113.0
www.focus.de,0.06886193064182193,0.2846792220702447,0.05297619047619047,0.08882017127458894,92.0
www.n-tv.de,0.056444500947512986,0.2670568604689594,0.0876697265251482,0.14727630304131684,83.0
www.diepresse.com,0.06444354256854257,0.28929914696432585,0.02936147186147186,0.10258806174117148,66.0
www.morgenpost.de,0.013360532629763392,0.21255200451916076,0.027435897435897433,0.06659690807012623,65.0
www.welt.de,0.017883035423358003,0.26436758519155756,0.08686251920122887,0.13378665496274328,62.0
www.nzz.ch,0.10655367231638417,0.2088918385001706,0.04467312348668281,0.09237839087811467,59.0
www.sueddeutsche.de,0.07009546271338725,0.23284292163204362,0.06017520215633423,0.11072634994782594,53.0
www.brigitte.de,0.2294270081770082,0.3119640360009261,0.05732804232804233,0.09371334142325832,33.0
www.tagesschau.de,0.0062909226190476205,0.26592475327600024,0.10466269841269842,0.15950549884340098,32.0
t3n.de,0.12603809523809523,0.23229248972836503,0.14052380952380952,0.1642103864571549,25.0
www.urlaubspiraten.de,0.271125,0.2304397436090795,0.032,0.0788986691902975,25.0
www.kicker.de,0.060995370370370366,0.17719035870982736,0.040674603174603176,0.11156155613732738,24.0
orf.at,0.01821428571428571,0.2638657968175465,0.08492063492063491,0.11485555686077596,21.0
noe.orf.at,-0.07779761904761905,0.18129421075183377,0.04880952380952381,0.08982917312163367,20.0
www.golem.de,0.11180004409171075,0.10700902044114245,0.042328042328042326,0.07051495808760017,18.0
stadt-bremerhaven.de,0.05867647058823528,0.3142329807918326,0.08676470588235295,0.15764815627361642,17.0
www.fitforfun.de,0.2768627450980392,0.18220855948699777,0.05323529411764706,0.09770361678068087,17.0
www.transfermarkt.de,0.054705882352941174,0.2522077759604211,0.07254901960784314,0.15611840864017243,17.0
kaernten.orf.at,0.0028348214285714365,0.2515414016717875,0.10208333333333333,0.15891705267097556,16.0
salzburg.orf.at,0.07638888888888888,0.1693801920854368,0.08333333333333333,0.14085904245475278,15.0
tirol.orf.at,0.0732142857142857,0.16795968213519225,0.07857142857142858,0.08901852573648883,14.0
www.gamestar.de,0.15854166666666666,0.26216660526112284,0.06819444444444445,0.11140847204363609,12.0
burgenland.orf.at,0.05861111111111111,0.12162376440211044,0.09484126984126984,0.16065802553294384,12.0
ooe.orf.at,0.07881944444444444,0.1425216882012843,0.04652777777777778,0.07084076015729433,12.0
vorarlberg.orf.at,0.19412698412698412,0.26555957057105944,0.05158730158730159,0.06815994060238287,12.0
